X1,X2,Y
1.807355,-1.060833,-1
2.097385,-0.769984,-1
1.978374,-1.236982,-1
0.463948,-1.228006,-1
1.31301,-1.270379,-1
1.644244,-1.674135,-1
0.240507,-0.834837,-1
1.142667,-0.12655,-1
1.539426,-1.409084,-1
0.089114,-1.35464,-1
0.326154,-0.488858,-1
1.550252,-0.97207,-1
0.995523,0.089849,-1
1.370868,-2.202826,-1
1.964686,-1.730965,-1
1.340853,-1.540023,-1
0.44346,0.538966,-1
1.531744,-0.694804,-1
0.881992,-1.313789,-1
0.42284,-0.97879,-1
2.480728,-1.223213,-1
1.056676,-0.308559,-1
0.337232,-0.987064,-1
1.449535,-0.421613,-1
2.189373,-0.50337,-1
1.419763,-1.163533,-1
1.558722,-1.080391,-1
1.074426,-0.909532,-1
0.887868,-1.565268,-1
1.615825,-1.168724,-1
0.862285,-1.06326,-1
1.053369,-1.723557,-1
0.627613,-0.337061,-1
0.515289,-1.800246,-1
0.810221,-1.502542,-1
0.159713,-1.826962,-1
1.175772,-0.246622,-1
1.072444,-1.481111,-1
0.971004,-2.220306,-1
-0.589281,-0.424981,-1
0.638826,0.019554,-1
1.176241,-0.524632,-1
1.261062,-0.901949,-1
1.126711,-1.607782,-1
0.973637,-1.531921,-1
-0.133711,-0.130531,-1
1.239972,-0.186294,-1
0.907274,-1.429939,-1
1.343081,-0.42996,-1
1.423381,-0.846464,-1
-0.773036,0.754569,1
-0.223218,0.724338,1
-1.814085,0.548776,1
0.724617,0.423881,1
0.07234,0.08257,1
-0.343255,4.206383,1
-0.663798,1.245151,1
-3.586759,1.738577,1
-0.574721,1.117505,1
-0.756387,1.462792,1
-1.945067,1.222707,1
-0.720958,1.053188,1
-1.092771,0.247319,1
-1.890965,1.920339,1
-0.153099,0.74628,1
-0.668497,2.352972,1
-0.131715,1.222377,1
-3.339987,-0.399508,1
-1.334429,1.738087,1
0.109011,1.05926,1
-1.342839,1.331352,1
-1.046223,2.260238,1
0.213216,0.8825,1
-0.305578,2.152464,1
-0.10593,1.847538,1
0.454232,0.901382,1
-1.995954,-0.34393,1
-1.598848,0.198216,1
0.169848,0.799222,1
-0.453385,-0.92529,1
-0.85381,-0.00423,1
-0.510835,1.482108,1
0.104207,-0.075854,1
-1.04662,2.551061,1
-1.568518,-0.328013,1
0.644406,0.033724,1
-2.22554,-0.085248,1
-2.960968,0.920732,1
-0.825787,1.241256,1
-1.201698,1.003193,1
-1.782273,0.183729,1
-1.316635,0.902924,1
-1.969847,1.146017,1
-1.749107,0.481479,1
-1.301903,1.653478,1
-2.37466,0.267958,1
-0.861724,1.305092,1
-2.609104,-0.254798,1
-0.00434,0.752445,1
-0.160036,0.645777,1
